V1,V2,V3
7.24719101123596,65.3191489361702,-318.107086181641
7.41573033707865,65.3191489361702,-317.057067871094
7.58426966292135,65.3191489361702,-302.227081298828
7.75280898876404,65.3191489361702,-300.992919921875
7.92134831460674,65.3191489361702,-311.282928466797
8.08988764044944,65.3191489361702,-323.282928466797
8.25842696629213,65.3191489361702,-327.212921142578
8.42696629213483,65.3191489361702,-319.552917480469
8.59550561797753,65.3191489361702,-319.162933349609
8.76404494382022,65.3191489361702,-310.552917480469
8.93258426966292,65.3191489361702,-305.939880371094
9.10112359550562,65.3191489361702,-300.079895019531
9.26966292134831,65.3191489361702,-302.959899902344
9.43820224719101,65.3191489361702,-306.3798828125
9.60674157303371,65.3191489361702,-310.159881591797
9.7752808988764,65.3191489361702,-243.139892578125
9.9438202247191,65.3191489361702,-195.607437133789
10.1123595505618,65.3191489361702,-178.437438964844
10.2808988764045,65.3191489361702,-163.777435302734
10.4494382022472,65.3191489361702,-186.867431640625
10.6179775280899,65.3191489361702,-291.787445068359
10.7865168539326,65.3191489361702,-286.867431640625
10.9550561797753,65.3191489361702,-225.907440185547
11.123595505618,65.3191489361702,-117.541847229004
11.2921348314607,65.3191489361702,-161.171844482422
11.4606741573034,65.3191489361702,-61.3318481445312
11.6292134831461,65.3191489361702,-44.7518463134766
11.7977528089888,65.3191489361702,-90.5318450927734
11.9662921348315,65.3191489361702,-50.2918472290039
12.1348314606742,65.3191489361702,-40.8339233398438
12.3033707865169,65.3191489361702,-40.2939262390137
12.4719101123596,65.3191489361702,188.576080322266
12.6404494382022,65.3191489361702,213.866073608398
12.8089887640449,65.3191489361702,213.146072387695
12.9775280898876,65.3191489361702,372.156066894531
13.1460674157303,65.3191489361702,693.417114257812
13.314606741573,65.3191489361702,439.967102050781
13.4831460674157,65.3191489361702,468.347106933594
13.6516853932584,65.3191489361702,684.887084960938
13.8202247191011,65.3191489361702,1055.75708007812
13.9887640449438,65.3191489361702,879.847106933594
14.1573033707865,65.3191489361702,901.647094726562
14.3258426966292,65.3191489361702,906.589050292969
14.4943820224719,65.3191489361702,797.679016113281
14.6629213483146,65.3191489361702,774.189025878906
14.8314606741573,65.3191489361702,754.739013671875
15,65.3191489361702,762.009033203125
0,65.1489361702128,-2834.94116210938
0.168539325842697,65.1489361702128,-2839.81127929688
0.337078651685393,65.1489361702128,-2709.34790039062
0.50561797752809,65.1489361702128,-2715.7978515625
0.674157303370786,65.1489361702128,-2831.14794921875
0.842696629213483,65.1489361702128,-2873.49780273438
1.01123595505618,65.1489361702128,-2952.337890625
1.17977528089888,65.1489361702128,-2950.36791992188
1.34831460674157,65.1489361702128,-2931.60180664062
1.51685393258427,65.1489361702128,-2909.6318359375
1.68539325842697,65.1489361702128,-2738.51171875
1.85393258426966,65.1489361702128,-2773.15185546875
2.02247191011236,65.1489361702128,-2819.04174804688
2.19101123595506,65.1489361702128,-2817.56176757812
2.35955056179775,65.1489361702128,-2764.63720703125
2.52808988764045,65.1489361702128,-2622.6572265625
2.69662921348315,65.1489361702128,-2323.30712890625
2.86516853932584,65.1489361702128,-2017.037109375
3.03370786516854,65.1489361702128,-1718.62719726562
3.20224719101124,65.1489361702128,-1554.62719726562
3.37078651685393,65.1489361702128,-1414.19714355469
3.53932584269663,65.1489361702128,-1303.99658203125
3.70786516853933,65.1489361702128,-1179.13659667969
3.87640449438202,65.1489361702128,-1148.42663574219
4.04494382022472,65.1489361702128,-1119.11657714844
4.21348314606742,65.1489361702128,-1078.2666015625
4.38202247191011,65.1489361702128,-971.28662109375
4.55056179775281,65.1489361702128,-929.647583007812
4.71910112359551,65.1489361702128,-883.217590332031
4.8876404494382,65.1489361702128,-821.317626953125
5.0561797752809,65.1489361702128,-704.597595214844
5.2247191011236,65.1489361702128,-670.637573242188
5.39325842696629,65.1489361702128,-643.707580566406
5.56179775280899,65.1489361702128,-611.797607421875
5.73033707865169,65.1489361702128,-551.53466796875
5.89887640449438,65.1489361702128,-527.344665527344
6.06741573033708,65.1489361702128,-505.5146484375
6.23595505617978,65.1489361702128,-469.244659423828
6.40449438202247,65.1489361702128,-360.914642333984
6.57303370786517,65.1489361702128,-290.784637451172
6.74157303370786,65.1489361702128,-280.437072753906
6.91011235955056,65.1489361702128,-287.857086181641
7.07865168539326,65.1489361702128,-298.76708984375
7.24719101123596,65.1489361702128,-292.967071533203
7.41573033707865,65.1489361702128,-292.527069091797
7.58426966292135,65.1489361702128,-272.157073974609
7.75280898876404,65.1489361702128,-233.542922973633
7.92134831460674,65.1489361702128,-235.172927856445
8.08988764044944,65.1489361702128,-241.672927856445
8.25842696629213,65.1489361702128,-244.142929077148
8.42696629213483,65.1489361702128,-263.772918701172
8.59550561797753,65.1489361702128,-272.312927246094
